20220628143352,0,0,0,0,0,0,0,0
20220628143353,0,0,0,0,0,0,0,0
20220628143354,0,0,0,0,0,0,0,0
20220628143355,0,0,0,0,0,0,0,0
20220628143356,0,0,0,0,0,0,0,0
20220628143357,0,0,0,0,0,0,0,0
20220628143358,0,0,0,0,0,0,0,0
20220628143359,0,0,0,0,0,0,0,0
20220628143400,0,0,0,0,0,0,0,0
20220628143401,0,0,0,0,0,0,0,0
20220628143402,0,0,0,0,0,0,0,0
20220628143403,0,0,0,0,0,0,0,0
20220628143404,0,0,0,0,0,0,0,0
20220628143405,0,0,0,0,0,0,0,0
20220628143406,0,0,0,0,0,0,0,0
20220628143407,0,0,0,0,0,0,0,0
20220628143408,0,0,0,0,0,0,0,0
20220628143409,0,0,0,0,0,0,0,0
20220628143410,0,0,0,0,0,0,0,0
20220628143411,0,0,0,0,0,0,0,0
20220628143412,0,0,0,0,0,0,0,0
20220628143413,0,0,0,0,0,0,0,0
20220628143414,0,0,0,0,0,0,0,0
20220628143415,0,0,0,0,0,0,0,0
20220628143416,0,0,0,0,0,0,0,0
20220628143417,0,0,0,0,0,0,0,0
20220628143418,0,0,0,0,0,0,0,0
20220628143419,0,0,0,0,0,0,0,0
20220628143420,0,0,0,0,0,0,0,0
20220628143421,0,0,0,0,0,0,0,0
20220628143422,0,0,0,0,0,0,0,0
20220628143423,0,0,0,0,0,0,0,0
20220628143424,0,0,0,0,0,0,0,0
20220628143425,0,0,0,0,0,0,0,0
20220628143426,0,0,0,0,0,0,0,0
20220628143427,0,0,0,0,0,0,0,0
20220628143428,0,0,0,0,0,0,3,0
20220628143429,0,0,0,0,0,0,3,0
20220628143430,0,0,0,0,0,0,2,0
20220628143431,0,0,0,0,0,0,2,0
20220628143432,0,0,0,0,0,0,2,0
20220628143433,0,0,0,0,0,0,0,0
20220628143434,0,0,0,0,0,0,0,0

